VeriSign Class 3 Code Signing 2010 CA	173d1f00e27a9d60265b3ab0b87f2ed8	ClientConnet LTD	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	357fa61d34f8ae335cf8503cc5025801	ClientConnet LTD	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	35e738ae8513757eeec7c3a8dc10e470	JDI BACKUP LIMITED	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	391be08ad60c2810187d12419bf289d9	LLC Mail.Ru	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	5662a49b284b082454dbb9d08d6e1098	Greentree Applications SRL	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	6ffc263a351134194cf16e1e6d0e0806	OpenCandy Inc.	1980-01-01	2030-12-31	Round 1 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2004 CA	2b686c5ce679f83d7d472226968edf2f	AntiSpyware LLC	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	201c61613e36ef7dd163280196cd80f7	ClientConnect LTD	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	3a82654719d8f75b59134f7b66465210	Conduit Ltd.	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2009-2 CA	3736da15af647632cce61cd41b6577dd	Conduit Ltd.	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	0d8d6a63396d197575990a769c1cc0c5	PC Cleaners Inc.	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2004 CA	4cbec6c07a720631ba4c7f9ee7bd7560	UUSee Inc.	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
GlobalSign CodeSigning CA - G2	1121352e0b2023d1a751886dcbe97d37795e	Disc Soft Ltd	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	2670e850c13552677fc3cfba525e11b8	Pandora TV Co., Ltd.	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	31477256c022a320a5c4d45392d85d8e	Pandora Corp	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
Thawte Code Signing CA - G2	47c58cce379b80c2c2a70add1024803e	iMesh Inc.	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2004 CA	5b532b1946d3f4201011e490dbdeb8d5	CARIMA ENTERPRISES LIMITED	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2004 CA	581b1ae7af2325f5dbaaf9e062884507	CARIMA ENTERPRISES LIMITED	1980-01-01	2030-12-31	Round 2 deployment of SymVT revoked signers
COMODO RSA Code Signing CA	00e5d044297ad12efd48a436e7b7e1ea4f	MDG Advertising	2015-05-18	2016-05-18	Round 2 deployment of SymVT revoked signers
UTN-USERFirst-Object	00E7817F8DBDB2740D495EFAB67DB867A4	Adobe Systems Incorporated	2007-12-04	2008-12-05	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	02dfa379df78368890cef38e3358e95d	Beijing Longweishengda Technology Co., Ltd.	2013-08-16	2013-10-25	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	03e5a010b05c9287f823c2585f547b80	MOCOMSYS INC,	2013-11-26	2015-02-04	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2009-2 CA	046931bf57ebc5947d3dc4ee7a236e	C-Media Electronics Incorporation	2011-10-14	2011-10-14	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	065569a3e261409128a40affa90d6d10	Police Mutual Aid Association	2013-10-15	2015-02-05	Round 2 deployment of SymVT revoked signers
VeriSign Class 3 Code Signing 2010 CA	06658b28dca3e5af38e72f439f229e08	Dmitry Shesterin	2013-11-19	2013-12-07	Round 2 deployment of SymVT revoked signers
